Port,Identifier,Transceiver,Vendor Name,Vendor PN,Wavelength,Pwr On Time,Temperature,RX Power,TX Power
Port  0:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18491 hours),39      Centigrade,-3.2    dBm (483.7uW),-0.9    dBm (805.0 uW)
Port  1:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18543 hours),41      Centigrade,-2.5    dBm (561.9uW),-1.2    dBm (756.3 uW)
Port  2:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18518 hours),43      Centigrade,-3.2    dBm (480.7uW),-1.4    dBm (719.8 uW)
Port  3:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18540 hours),43      Centigrade,-3.6    dBm (433.9uW),-1.5    dBm (703.2 uW)
Port  4:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18536 hours),39      Centigrade,-1.1    dBm (785.2uW),0.1     dBm (1019.4 uW)
Port  5:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18495 hours),42      Centigrade,-1.9    dBm (646.1uW),-0.3    dBm (930.0 uW)
Port  6:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18549 hours),43      Centigrade,-0.6    dBm (865.8uW),0.4     dBm (1088.2 uW)
Port  7:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18539 hours),44      Centigrade,-0.1    dBm (974.4uW),-0.2    dBm (945.8 uW)
Port  8:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18501 hours),45      Centigrade,-2.4    dBm (572.4uW),-2.0    dBm (632.8 uW)
Port  9:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18569 hours),45      Centigrade,-2.4    dBm (576.4uW),-1.0    dBm (802.6 uW)
Port 10:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18468 hours),45      Centigrade,-3.3    dBm (466.1uW),-2.1    dBm (616.8 uW)
Port 11:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18467 hours),44      Centigrade,-3.9    dBm (411.9uW),-1.6    dBm (684.0 uW)
Port 12:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18509 hours),45      Centigrade,-2.9    dBm (512.9uW),-1.6    dBm (695.1 uW)
Port 13:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18527 hours),44      Centigrade,-3.6    dBm (440.1uW),-1.9    dBm (640.7 uW)
Port 14:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18602 hours),44      Centigrade,-3.0    dBm (502.6uW),-2.2    dBm (605.4 uW)
Port 15:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18593 hours),43      Centigrade,-2.9    dBm (508.3uW),-2.1    dBm (614.1 uW)
Port 16:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18482 hours),42      Centigrade,-3.4    dBm (456.3uW),-1.4    dBm (724.1 uW)
Port 17:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18547 hours),42      Centigrade,-3.6    dBm (441.4uW),-1.7    dBm (671.6 uW)
Port 18:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18532 hours),40      Centigrade,-2.7    dBm (535.0uW),-0.9    dBm (809.7 uW)
Port 19:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18506 hours),37      Centigrade,-4.1    dBm (390.6uW),-2.0    dBm (633.5 uW)
Port 20:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18487 hours),41      Centigrade,-2.3    dBm (593.6uW),-1.7    dBm (680.9 uW)
Port 21:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.12 years (18549 hours),41      Centigrade,-2.9    dBm (513.3uW),-1.7    dBm (679.6 uW)
Port 22:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18471 hours),40      Centigrade,-3.0    dBm (498.8uW),-1.2    dBm (762.8 uW)
Port 23:,SFP,"8,16,32",BROCADE,57-1000485-01,850  (units nm),2.11 years (18474 hours),38      Centigrade,-2.4    dBm (578.6uW),-1.2    dBm (764.5 uW)
